GENERAL INFO
name,null
elevation (m),2618.7001953125
aspect,null
air temperature (c),null
slope angle (deg),null
profilePrivacy,public
totalSnowDepth (cm),null
freeText,null
collectionTime,Dec 15 2025 10:11 Mitteleuropäische Normalzeit
collectionTime (Unix Time),1765789877
creator name,LBI SLF
org name,SLF
Location,46.8296281,9.8091983

SCOPE PROFILE
Max Profile Speed (m/s),4.6
Profile Time (sec),0.2
testNum,671
serialNum,00353
profileDepth (mm),690
batteryCapacity,0
errorCode,0
temperature,5
FW_version,2.4.1
PCB_version,v2.7
depth (mm),hardness (kPa),
1,2.18,null
2,2.83,null
3,2.83,null
4,2.83,null
5,2.83,null
6,2.83,null
7,2.83,null
8,3.77,null
9,3.77,null
10,3.13,null
11,3.13,null
12,3.53,null
13,3.53,null
14,1.83,null
15,1.83,null
16,1.98,null
17,1.98,null
18,1.98,null
19,1.93,null
20,1.64,null
21,1.64,null
22,1.64,null
23,1.44,null
24,1.44,null
25,1.49,null
26,1.49,null
27,1.59,null
28,1.59,null
29,1.59,null
30,1.74,null
31,1.74,null
32,1.74,null
33,1.59,null
34,1.59,null
35,2.43,null
36,2.43,null
37,2.68,null
38,2.68,null
39,2.68,null
40,2.53,null
41,2.53,null
42,2.53,null
43,2.53,null
44,2.53,null
45,2.03,null
46,2.03,null
47,2.03,null
48,2.33,null
49,2.33,null
50,2.33,null
51,1.98,null
52,1.98,null
53,4.22,null
54,4.22,null
55,4.22,null
56,4.22,null
57,2.43,null
58,2.43,null
59,3.43,null
60,3.43,null
61,3.43,null
62,3.43,null
63,3.43,null
64,3.53,null
65,4.22,null
66,4.22,null
67,4.22,null
68,3.62,null
69,3.62,null
70,3.48,null
71,3.48,null
72,3.48,null
73,3.97,null
74,3.97,null
75,3.97,null
76,3.97,null
77,3.28,null
78,3.28,null
79,3.28,null
80,6.01,null
81,6.01,null
82,6.01,null
83,4.92,null
84,4.92,null
85,4.92,null
86,4.92,null
87,5.76,null
88,5.76,null
89,5.76,null
90,5.76,null
91,5.76,null
92,5.76,null
93,4.92,null
94,4.92,null
95,4.92,null
96,4.92,null
97,3.77,null
98,3.77,null
99,3.77,null
100,4.72,null
101,4.72,null
102,4.72,null
103,5.02,null
104,5.02,null
105,5.02,null
106,5.02,null
107,5.76,null
108,5.76,null
109,5.76,null
110,6.66,null
111,6.66,null
112,6.66,null
113,4.12,null
114,4.12,null
115,4.12,null
116,6.31,null
117,3.43,null
118,3.43,null
119,3.43,null
120,4.12,null
121,4.12,null
122,4.12,null
123,7.8,null
124,7.8,null
125,7.8,null
126,7.8,null
127,11.83,null
128,11.83,null
129,11.83,null
130,11.83,null
131,11.83,null
132,8.2,null
133,8.2,null
134,8.2,null
135,12.97,null
136,12.97,null
137,12.97,null
138,12.62,null
139,12.62,null
140,12.62,null
141,12.62,null
142,12.62,null
143,16.25,null
144,16.25,null
145,16.25,null
146,16.25,null
147,16.25,null
148,16.25,null
149,16.25,null
150,16.2,null
151,16.2,null
152,16.2,null
153,16.2,null
154,12.52,null
155,12.52,null
156,12.52,null
157,12.52,null
158,16.6,null
159,16.6,null
160,16.6,null
161,11.83,null
162,11.83,null
163,11.83,null
164,11.83,null
165,11.83,null
166,16.95,null
167,16.95,null
168,16.95,null
169,16.95,null
170,16.2,null
171,16.2,null
172,16.2,null
173,14.81,null
174,14.81,null
175,14.81,null
176,14.81,null
177,21.18,null
178,10.54,null
179,10.54,null
180,10.54,null
181,10.54,null
182,12.72,null
183,12.72,null
184,12.72,null
185,24.81,null
186,24.81,null
187,24.81,null
188,24.81,null
189,25.15,null
190,25.15,null
191,25.15,null
192,25.15,null
193,25.15,null
194,25.1,null
195,25.1,null
196,25.1,null
197,25.1,null
198,28.04,null
199,28.04,null
200,28.04,null
201,28.04,null
202,29.23,null
203,29.23,null
204,29.23,null
205,29.23,null
206,28.04,null
207,28.04,null
208,28.04,null
209,28.04,null
210,28.04,null
211,28.04,null
212,28.04,null
213,28.04,null
214,20.53,null
215,20.53,null
216,20.53,null
217,20.53,null
218,20.53,null
219,27.34,null
220,27.34,null
221,27.34,null
222,27.34,null
223,27.34,null
224,27.34,null
225,27.34,null
226,27.34,null
227,45.04,null
228,45.04,null
229,45.04,null
230,45.04,null
231,45.04,null
232,21.72,null
233,21.72,null
234,21.72,null
235,21.72,null
236,21.72,null
237,36.09,null
238,36.09,null
239,36.09,null
240,25.75,null
241,25.75,null
242,25.75,null
243,25.75,null
244,25.75,null
245,22.37,null
246,35.89,null
247,35.89,null
248,35.89,null
249,35.89,null
250,35.89,null
251,33.9,null
252,33.9,null
253,33.9,null
254,21.82,null
255,21.82,null
256,21.82,null
257,21.82,null
258,21.82,null
259,19.63,null
260,19.63,null
261,19.63,null
262,19.63,null
263,19.63,null
264,19.63,null
265,25.2,null
266,25.2,null
267,25.2,null
268,25.2,null
269,35.1,null
270,35.1,null
271,35.1,null
272,35.1,null
273,56.63,null
274,56.63,null
275,56.63,null
276,56.63,null
277,56.63,null
278,17.99,null
279,17.99,null
280,17.99,null
281,17.99,null
282,17.99,null
283,17.99,null
284,17.99,null
285,17.99,null
286,64.33,null
287,64.33,null
288,64.33,null
289,64.33,null
290,64.33,null
291,64.33,null
292,62.19,null
293,62.19,null
294,62.19,null
295,62.19,null
296,62.19,null
297,93.67,null
298,93.67,null
299,93.67,null
300,48.67,null
301,48.67,null
302,48.67,null
303,48.67,null
304,48.67,null
305,52.65,null
306,52.65,null
307,52.65,null
308,52.65,null
309,52.65,null
310,53.34,null
311,53.34,null
312,53.34,null
313,32.51,null
314,32.51,null
315,32.51,null
316,32.51,null
317,32.51,null
318,44,null
319,50.61,null
320,50.61,null
321,50.61,null
322,50.61,null
323,50.61,null
324,39.03,null
325,39.03,null
326,39.03,null
327,54.79,null
328,54.79,null
329,54.79,null
330,54.79,null
331,54.79,null
332,51.46,null
333,51.46,null
334,51.46,null
335,51.46,null
336,51.46,null
337,51.46,null
338,64.83,null
339,64.83,null
340,64.83,null
341,64.83,null
342,49.67,null
343,49.67,null
344,49.67,null
345,49.67,null
346,49.67,null
347,49.67,null
348,49.67,null
349,49.67,null
350,49.67,null
351,49.67,null
352,57.07,null
353,57.07,null
354,57.07,null
355,57.07,null
356,57.07,null
357,57.07,null
358,57.07,null
359,57.07,null
360,29.33,null
361,29.33,null
362,29.33,null
363,29.33,null
364,29.33,null
365,35.69,null
366,35.69,null
367,35.69,null
368,35.69,null
369,35.69,null
370,31.87,null
371,31.87,null
372,31.87,null
373,56.73,null
374,56.73,null
375,56.73,null
376,56.73,null
377,56.73,null
378,56.73,null
379,32.91,null
380,32.91,null
381,32.91,null
382,32.91,null
383,32.91,null
384,46.53,null
385,46.53,null
386,46.53,null
387,46.98,null
388,46.98,null
389,46.98,null
390,46.98,null
391,46.98,null
392,41.56,null
393,56.13,null
394,56.13,null
395,56.13,null
396,56.13,null
397,46.98,null
398,46.98,null
399,46.98,null
400,28.93,null
401,28.93,null
402,28.93,null
403,28.93,null
404,28.93,null
405,26,null
406,26,null
407,26,null
408,26,null
409,26,null
410,34.6,null
411,34.6,null
412,34.6,null
413,34.6,null
414,26.64,null
415,26.64,null
416,26.64,null
417,26.64,null
418,32.26,null
419,32.26,null
420,32.26,null
421,32.26,null
422,32.26,null
423,29.13,null
424,29.13,null
425,29.13,null
426,29.13,null
427,29.13,null
428,29.13,null
429,29.13,null
430,29.13,null
431,17.79,null
432,17.79,null
433,17.79,null
434,17.79,null
435,17.79,null
436,29.58,null
437,29.58,null
438,29.58,null
439,29.58,null
440,29.58,null
441,22.77,null
442,22.77,null
443,22.77,null
444,112.36,null
445,112.36,null
446,112.36,null
447,112.36,null
448,112.36,null
449,112.36,null
450,46.28,null
451,46.28,null
452,46.28,null
453,46.28,null
454,46.28,null
455,128.12,null
456,128.12,null
457,128.12,null
458,20.98,null
459,20.98,null
460,20.98,null
461,20.98,null
462,20.98,null
463,21.82,null
464,51.65,null
465,51.65,null
466,51.65,null
467,51.65,null
468,29.48,null
469,29.48,null
470,29.48,null
471,13.07,null
472,13.07,null
473,13.07,null
474,13.07,null
475,12.03,null
476,12.03,null
477,12.03,null
478,12.03,null
479,12.03,null
480,17.65,null
481,17.65,null
482,17.65,null
483,17.65,null
484,14.36,null
485,14.36,null
486,14.36,null
487,14.36,null
488,16.25,null
489,16.25,null
490,16.25,null
491,16.25,null
492,16.25,null
493,11.13,null
494,11.13,null
495,11.13,null
496,11.13,null
497,11.13,null
498,11.13,null
499,11.13,null
500,11.13,null
501,18.09,null
502,18.09,null
503,18.09,null
504,18.09,null
505,18.09,null
506,16.2,null
507,16.2,null
508,16.2,null
509,16.2,null
510,16.2,null
511,23.86,null
512,23.86,null
513,23.86,null
514,22.77,null
515,22.77,null
516,22.77,null
517,22.77,null
518,22.77,null
519,20.58,null
520,20.58,null
521,20.58,null
522,20.58,null
523,20.58,null
524,19.44,null
525,19.44,null
526,19.44,null
527,28.04,null
528,28.04,null
529,28.04,null
530,28.04,null
531,19.24,null
532,24.41,null
533,24.41,null
534,24.41,null
535,23.71,null
536,23.71,null
537,23.71,null
538,15.01,null
539,15.01,null
540,15.01,null
541,15.01,null
542,16.35,null
543,16.35,null
544,16.35,null
545,16.35,null
546,16.35,null
547,16.4,null
548,16.4,null
549,16.4,null
550,62.24,null
551,62.24,null
552,62.24,null
553,109.63,null
554,109.63,null
555,109.63,null
556,109.63,null
557,24.46,null
558,24.46,null
559,24.46,null
560,24.46,null
561,24.46,null
562,24.46,null
563,24.46,null
564,87.7,null
565,87.7,null
566,87.7,null
567,87.7,null
568,233.88,null
569,233.88,null
570,233.88,null
571,233.88,null
572,163.33,null
573,163.33,null
574,163.33,null
575,54.39,null
576,54.39,null
577,54.39,null
578,54.39,null
579,65.23,null
580,65.23,null
581,65.23,null
582,65.23,null
583,59.86,null
584,59.86,null
585,59.86,null
586,45.14,null
587,45.14,null
588,45.14,null
589,45.14,null
590,41.71,null
591,57.87,null
592,57.87,null
593,57.87,null
594,56.58,null
595,56.58,null
596,56.58,null
597,49.72,null
598,49.72,null
599,49.72,null
600,49.72,null
601,44.94,null
602,44.94,null
603,44.94,null
604,44.94,null
