file_path,pst_id,column_length,cut_length,phi,cut_depth,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-19985-caaml.xml,0,1000.0,350.0,14,870.0,158.0,2.8392571053874684,F,FC,3.0,0.5394263169534088,0.53922146278289,0.0002048541705188226
data/snowpits/2019-2020/snowpits-21226-caaml.xml,0,900.0,330.0,25,900.0,125.0,1.0127857821582387,4F,SHxr,10.0,0.5360798613982749,0.5206040442312394,0.015475817167035484
data/snowpits/2019-2020/snowpits-21226-caaml.xml,1,900.0,250.0,25,1050.0,243.25,18.955972677055065,4F+,DHxr,4.0,0.36853597830685814,0.3431511582350788,0.025384820071779307
data/snowpits/2019-2020/snowpits-25385-caaml.xml,0,1000.0,500.0,23,800.0,162.88,3.24587421255852,4F-,FCxr,1.0,2.8843027410242996,2.8180812250432266,0.0662215159810732
data/snowpits/2019-2020/snowpits-20222-caaml.xml,0,1000.0,380.0,22,650.0,125.0,1.0127857821582387,4F,SHxr,4.0,0.41334249060433376,0.41313537253164423,0.00020711807268954734
data/snowpits/2019-2020/snowpits-18320-caaml.xml,0,1000.0,420.0,23,520.0,184.0,5.550242516693784,4F,FCso,1.0,0.4900760235631635,0.4807411864255786,0.009334837137584888
data/snowpits/2019-2020/snowpits-21088-caaml.xml,0,1000.0,400.0,20,850.0,204.0,8.73949373506776,4F,FC,2.0,0.7275855231040567,0.7195185642576489,0.00806695884640778
data/snowpits/2019-2020/snowpits-19252-caaml.xml,0,1000.0,210.0,19,370.0,125.0,1.0127857821582387,F,SH,,0.0695909118254589,0.06886284511100581,0.0007280667144530948
data/snowpits/2019-2020/snowpits-19252-caaml.xml,1,1000.0,240.0,19,370.0,125.0,1.0127857821582387,F,SH,,0.09478328644852596,0.09290120161673712,0.0018820848317888444
data/snowpits/2019-2020/snowpits-19252-caaml.xml,2,1000.0,220.0,19,370.0,125.0,1.0127857821582387,F,SH,,0.07731822437549202,0.0762807559000742,0.0010374684754178097
